#CSV created by Body Aspect
Body part , layer ,  X  , Y ,  Z 
1,1,-1370,-8157,-600
1,1,-1390,-8157,-540
1,1,-1385,-8157,-430
1,1,-1396,-8157,-411
1,1,-1400,-8157,-431
1,1,-1404,-8157,-371
1,1,-1422,-8157,-309
1,1,-1428,-8157,-260
1,1,-1434,-8157,-220
1,1,-1445,-8157,-200
1,1,-1451,-8157,-161
1,1,-1469,-8157,-99
1,1,-1490,-8157,-70
1,1,-1507,-8157,-11
1,1,-1539,-8157,40
1,1,-1543,-8157,80
1,1,-1560,-8157,129
1,1,-1581,-8157,161
1,1,-1591,-8157,180
1,1,-1621,-8157,229
1,1,-1623,-8157,279
1,1,-1625,-8157,269
1,1,-1671,-8157,300
1,1,-1671,-8157,360
1,1,-1699,-8157,411
1,1,-1713,-8157,460
1,1,-1718,-8157,440
1,1,-1719,-8157,490
1,1,-1733,-8157,539
1,1,-1760,-8157,590
1,1,-1764,-8157,570
1,1,-1769,-8157,600
1,1,-1792,-8157,660
1,1,-1812,-8157,631
1,1,-1810,-8157,691
1,1,-1812,-8157,681
1,1,-1834,-8157,740
1,1,-1857,-8157,751
1,1,-1864,-8157,721
1,1,-1854,-8157,810
1,1,-1870,-8157,840
1,1,-1906,-8157,750
1,1,-1905,-8157,800
1,1,-1904,-8157,850
1,1,-1956,-8157,841
1,1,-1948,-8157,910
1,1,-1954,-8157,891
1,1,-1960,-8157,910
1,1,-2001,-8157,850
1,1,-2006,-8157,920
1,1,-2065,-8157,800
1,1,-2034,-8157,951
1,1,-2051,-8157,890
1,1,-2049,-8157,940
1,1,-2058,-8157,950
1,1,-2061,-8157,1020
1,1,-2100,-8157,891
1,1,-2103,-8157,921
1,1,-2097,-8157,981
1,1,-2140,-8157,840
1,1,-2100,-8157,1010
1,1,-2152,-8157,841
1,1,-2096,-8157,1061
1,1,-2161,-8157,851
1,1,-2154,-8157,951
1,1,-2148,-8157,1011
1,1,-2211,-8157,811
1,1,-2144,-8157,1061
1,1,-2209,-8157,851
1,1,-2200,-8157,961
1,1,-2206,-8157,941
1,1,-2254,-8157,830
1,1,-2263,-8157,801
1,1,-2201,-8157,1031
1,1,-2196,-8157,1080
1,1,-2262,-8157,881
1,1,-2251,-8157,950
1,1,-2307,-8157,781
1,1,-2247,-8157,1000
1,1,-2309,-8157,810
1,1,-2223,-8157,1110
1,1,-2249,-8157,1030
1,1,-2341,-8157,750
1,1,-2248,-8157,1070
1,1,-2300,-8157,911
1,1,-2311,-8157,880
1,1,-2374,-8157,691
1,1,-2247,-8157,1110
1,1,-2360,-8157,771
1,1,-2369,-8157,741
1,1,-2298,-8157,991
1,1,-2356,-8157,820
1,1,-2410,-8157,660
1,1,-2419,-8157,631
1,1,-2300,-8157,1021
1,1,-2354,-8157,860
1,1,-2295,-8157,1071
1,1,-2349,-8157,910
1,1,-2415,-8157,720
1,1,-2294,-8157,1111
1,1,-2410,-8157,770
1,1,-2461,-8157,620
1,1,-2468,-8157,600
1,1,-2408,-8157,810
1,1,-2348,-8157,1020
1,1,-2355,-8157,1001
1,1,-2462,-8157,690
1,1,-2304,-8157,1180
1,1,-2347,-8157,1060
1,1,-2457,-8157,740
1,1,-2457,-8157,780
1,1,-2346,-8157,1130
1,1,-2401,-8157,970
1,1,-2419,-8157,921
1,1,-2347,-8157,1160
1,1,-2396,-8157,1020
1,1,-2402,-8157,1070
1,1,-2506,-8157,781
1,1,-2400,-8157,1110
1,1,-2394,-8157,1160
1,1,-2395,-8157,1220
1,1,-2441,-8157,1191
1,1,-2674,-8157,57
1,1,-2681,-8157,77
1,1,-2667,-8157,78
1,1,-2543,-8157,-44
1,1,-2499,-8157,-132
1,1,-2530,-8157,-43
1,1,-2580,-8157,107
1,1,-2472,-8157,-173
1,1,-2536,-8157,17
1,1,-2560,-8157,88
1,1,-2382,-8157,-402
1,1,-2478,-8157,-112
1,1,-2515,-8157,-2
1,1,-2376,-8157,-383
1,1,-2393,-8157,-331
1,1,-2409,-8157,-282
1,1,-2429,-8157,-223
1,1,-2508,-8157,19
1,1,-2528,-8157,78
1,1,-2558,-8157,168
1,1,-2379,-8157,-332
1,1,-2429,-8157,-182
1,1,-2323,-8157,-462
1,1,-2334,-8157,-431
1,1,-2382,-8157,-281
1,1,-2343,-8157,-360
1,1,-2388,-8157,-220
1,1,-2291,-8157,-481
1,1,-2259,-8157,-542
1,1,-2237,-8157,-571
1,1,-2246,-8157,-541
1,1,-2208,-8157,-622
1,1,-2192,-8157,-631
1,1,-2201,-8157,-601
1,1,-2126,-8157,-800
1,1,-2141,-8157,-751
1,1,-2160,-8157,-690
1,1,-2064,-8157,-920
1,1,-2073,-8157,-890
1,1,-2089,-8157,-840
1,1,-2036,-8157,-971
1,1,-2043,-8157,-950
1,1,-2060,-8157,-889
1,1,-2009,-8157,-980
1,1,-1966,-8157,-1040
1,1,-1974,-8157,-1020
1,1,-1928,-8157,-1130
1,1,-1936,-8157,-1099
1,1,-1901,-8157,-1179
1,1,-1907,-8157,-1159
1,1,-1866,-8157,-1220
1,1,-1868,-8157,-1209
1,1,-1823,-8157,-1249
1,1,-1782,-8157,-1268
1,1,-1770,-8157,-1269
1,1,-1773,-8157,-1259
1,1,-1719,-8157,-1289
1,1,-1668,-8157,-1309
1,1,-1661,-8157,-1328
1,1,-1625,-8157,-1338
1,1,-1621,-8157,-1307
1,1,-1576,-8157,-1308
1,1,-1547,-8157,-1328
1,1,-1519,-8157,-1308
1,1,-1475,-8157,-1297
1,1,-1458,-8157,-1266
1,1,-1417,-8157,-1247
1,1,-1373,-8157,-1237
1,1,-1377,-8157,-1217
1,1,-1368,-8157,-1207
1,1,-1364,-8157,-1177
1,1,-1350,-8157,-1126
1,1,-1337,-8157,-1077
1,1,-1341,-8157,-1007
1,1,-1234,-8157,-1236
1,1,-1252,-8157,-1145
1,1,-1256,-8157,-1125
1,1,-1223,-8157,-1236
1,1,-1223,-8157,-1235
1,1,-1226,-8157,-1216
1,1,-1208,-8157,-1185
1,2,-1395,-8107,-490
1,2,-1399,-8107,-430
1,2,-1406,-8107,-391
1,2,-1403,-8107,-370
1,2,-1432,-8107,-290
1,2,-1433,-8107,-220
1,2,-1444,-8107,-200
1,2,-1462,-8107,-141
